Orthogroup	Willisornis poecilinotus	Acanthisitta chloris	Amazona collaria	Camarhynchus parvulus	Corapipo altera	Corvus brachyrhynchos	Corvus cornix	Cyanistes caeruleus	Empidonax trailli	Erythrura gouldiae	Falco cherug	Falco peregrinus	Ficedula albicollis	Geospiza fortis	Junco hyemalis	Lepidothrix coronata	Lonchura striata	Manacus vitellinus	Melopsittacus undulatus	Neopelma chrysocephalum	Nestor notabilis	Parus major	Pipra filicauda	Pseudopodoces humilis	Serinus canaria	Taeniopygia guttata	Zonotrichia albicollis	Hypocnemis ochrogyna	Rhegmatorhina melanosticta
OG0000129	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000130	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000131	7	4	3	3	2	3	3	3	3	2	3	3	3	3	1	2	3	2	3	2	3	3	4	3	2	3	3	4	2
OG0000132	2	3	3	3	6	3	3	3	3	3	3	3	3	3	2	3	3	5	2	3	3	3	7	3	2	2	3	1	0
OG0000133	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	3	2
OG0000134	4	3	3	3	3	2	2	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4
OG0000135	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	2	3	3	3	2	3	3	2	3
OG0000136	3	2	4	3	3	3	2	2	4	4	3	3	4	3	3	3	4	1	3	4	3	3	3	3	3	2	2	3	1
OG0000137	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	4	3	3	3	3	3	3	3	2
OG0000138	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3
OG0000139	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	4	3	3	2	2
OG0000140	2	3	3	3	3	3	3	3	3	4	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	3	2	2
OG0000141	3	3	3	3	3	4	4	3	3	3	3	3	3	4	2	3	3	3	3	3	3	3	2	3	2	3	3	3	2
OG0000142	2	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1
OG0000143	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	2	2
OG0000144	3	3	4	3	3	3	3	2	4	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	2	3	2
OG0000145	3	3	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	4	3	2	3	3	3	3	3	3
OG0000146	3	4	3	3	3	3	2	3	3	2	3	3	3	3	2	3	3	2	2	3	4	3	3	3	3	4	2	3	3
OG0000147	4	2	6	4	3	1	0	1	4	5	3	3	2	2	4	4	4	1	1	4	1	2	4	4	2	5	0	3	4
OG0000148	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2
OG0000149	3	4	3	3	3	3	1	4	2	5	3	3	2	2	3	3	3	3	3	3	3	2	3	3	4	4	2	3	2
OG0000150	2	3	4	3	4	3	3	4	3	3	3	2	3	3	4	3	3	2	2	3	1	3	3	3	3	2	4	3	2
OG0000151	3	3	3	3	3	3	2	3	3	3	2	2	3	3	3	3	3	4	3	3	2	3	3	3	3	3	2	3	3
OG0000152	3	2	3	2	2	2	2	4	3	3	2	3	2	2	2	3	4	3	3	3	3	3	3	3	2	2	2	8	4
OG0000153	1	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2
OG0000154	2	3	4	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3
OG0000155	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	2	4	3	3	3	3	3	3	3	3	2	2
OG0000156	3	3	2	3	4	3	2	3	3	3	3	3	3	3	3	1	3	2	2	3	2	3	3	3	3	3	3	6	2
OG0000157	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	2	3	3	3
OG0000158	2	1	1	2	4	4	2	10	5	2	0	0	4	0	0	0	2	4	0	6	0	1	5	4	3	11	1	9	3
