			Million years bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[	[50;51[	[51;52[	[52;53[	[53;54[	[54;55[	[55;56[	[56;57[	[57;58[	[58;59[	[59;60[	[60;61[	[61;62[	[62;63[	[63;64[	[64;65[	[65;66[	[66;67[	[67;68[	[68;69[	[69;70[	[70;71[	[71;72[	[72;73[	[73;74[	[74;75[	[75;76[	[76;77[	[77;78[	[78;79[	[79;80[	[80;81[	[81;82[	[82;83[	[83;84[	[84;85[	[85;86[	[86;87[	[87;88[	[88;89[	[89;90[	[90;91[	[91;92[	[92;93[	[93;94[	[94;95[	[95;96[	[96;97[	[97;98[	[98;99[	[99;100[
CR1-J2b_Ucy	LINE	CR1	0	0	51	219	171	109	312	462	370	571	1748	1684	3607	3287	5296	6795	8711	12133	21283	28590	49032	72035	100031	158913	191722	242282	232605	236967	206168	175833	124344	101315	92761	47091	49096	31118	24793	18053	14309	8018	6706	2956	4541	7453	5477	6275	4333	9031	10361	12607	10835	10576	4817	6012	4766	3180	1762	1087	795	1799	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MeloSINE_Melopsittacus_undulatus	SINE	RTE	0	1652	1005	1599	804	1352	50	842	288	262	75	0	0	0	7	6	231	70	446	0	347	378	2184	18	462	7	22	27	7	879	80	156	531	774	402	221	0	59	381	0	265	0	381	0	0	0	97	120	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Mesitornis_unicolor	LINE	RTE-BovB	0	0	0	0	0	0	0	0	0	0	0	38	58	187	0	339	0	126	421	5	331	0	294	0	157	77	0	10	0	0	69	62	0	39	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe129	LINE	CR1	676	1399	5205	10120	14393	28650	35751	34315	23078	19962	10790	8011	3169	5471	3964	1405	2129	951	1564	639	790	69	400	1137	328	18	231	164	364	637	107	693	431	677	540	916	85	264	287	251	229	518	175	164	312	149	124	378	137	3	57	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fAlbLTRK13	LTR	ERV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe116	LTR	Unknown	1306	14508	16629	6330	5278	5162	1836	525	2573	1686	674	116	2405	1046	1211	240	297	156	265	944	1197	590	906	2933	6880	2466	3740	3139	1492	535	1209	140	222	378	123	194	103	143	1	173	154	83	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe056	LTR	ERV1	218395	58631	31439	46311	9917	12353	4166	0	58	0	638	0	0	0	0	14	0	0	84	164	0	0	390	75	310	132	310	62	486	310	55	0	2615	14824	1665	668	318	733	18608	102	7898	508	1392	3298	2304	2403	4075	8255	4712	13003	44832	26562	35089	27644	21060	6550	5291	7348	1433	1053	512	374	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe079	LINE	CR1	7	4882	38331	13520	9442	4486	3903	2950	3212	1558	243	1861	1455	1296	939	517	2637	0	283	4692	466	104	251	146	468	255	505	317	516	1144	948	429	599	643	1391	349	737	1251	1364	972	2758	1612	2560	3272	2137	2790	4346	4524	4803	6430	6548	8413	4977	6968	6307	3389	1978	3522	1114	0	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fAlbLTR3b	LTR	ERV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe134	LTR	Unknown	1527	173	604	2853	12919	14024	19361	18336	15153	19571	28341	26958	11352	9190	3428	1524	1659	2156	2101	1138	2429	2714	1947	3622	2091	1943	3049	2519	2526	1752	1741	1753	1086	1040	490	754	240	242	231	60	133	0	101	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
